pregunta,respuesta
"Si actúo como intermediario, o como agente de transporte en un envío de mercancías o mercancías, ¿es necesario emitir una entrada de tipo CFDI con el Suplemento de Tarjeta Porte?","En este caso, además del RFC del receptor, el valor “XAX010101000” debe capturarse con el complemento Carta Porte y utilizar esta o su representación impresa para probar el transporte de las mercancías, y el valor igual a cero debe registrarse de conformidad con las disposiciones de la regla 2.7.1.26 del actual RMF."
¿En qué momento debería emitir un tipo de ingreso CFDI con la carta de suplemento Porte?,"Cuando el transporte de mercancías o mercancías por cualquiera de los diferentes medios de transporte se efectúe por tierra de carga que circule por carreteras federales, ferrocarriles, mar, aire o río."
"Si las mercancías o mercancías son transportadas por diferentes medios de transporte, ¿podré registrar la información correspondiente a estos medios en un único bono con el suplemento Carda Porte, o deberían ser diferentes vales con el suplemento?","Podrá registrar en el mismo bono la información de los medios de transporte utilizados para la transferencia de bienes o mercancías, ya sea como propietario o propietario de éstos, como proveedor o proveedor de servicios o agente de transporte."
¿Cuál es la clave del método de pago que deben utilizar los miembros del sistema financiero para la emisión de los ICCDI que se emiten con la facilidad establecida en el párrafo 2.7.1.39 de la actual Resolución Fiscal Miscelánea?,"El método de pago a utilizar es “PUE Pago en una sola exposición” contenido en el catálogo c_MethodPago del Anexo 20.Fundación jurídica: Anexo 20 Guía para llenar vales fiscales digitales a través de Internet versión 3.3, publicada en el Portal SAT."
¿Qué información es necesaria para registrar en el suplemento de pago?,"Por lo que se refiere a los pagos mediante transferencia electrónica de fondos (incluido el SPEI), no es necesario incorporar información bancaria (número de operación, cuenta de envío, cuenta de beneficiario, nombre del banco, tipo de pago, pago de sellos, etc.)"
¿Cuándo debe añadirse un suplemento de pago a una factura?,"Cuando la contraprestación no se pague en una sola presentación, o cuando el pago de la contraprestación en una presentación, pero no esté cubierto en el momento de la emisión de la factura, incluso en el caso de operaciones de crédito y se paguen íntegramente en la fecha de las facturas de que se trate."
¿Puede cancelar una factura de suplemento de pago que contiene errores?,"Si hay errores en la factura, la factura podrá ser cancelada siempre que sea sustituida por otra con los datos correctos y cuando se realice el último día del ejercicio en el que se haya emitido la factura."
¿Cómo puedo registrar los impuestos transferidos?,"Debe señalarse en el ámbito del “Objetivo Tributario”, entonces los importes deben indicarse como correspondientes a un impuesto transferido o retenido, también es importante considerar que deben indicarse todos los importes en la moneda nacional MXN."
¿Cuándo es obligatorio emitir el suplemento de pago con la versión 2.0?,"Es obligatorio desde el 1 de abril de 2023, hay un período de coexistencia con la versión 1.0 del 1 de enero de 2022 al 31 de marzo de 2023."
¿Qué documentos puedo recuperar a través de este servicio?,"Puede recuperar copias de los archivos XML de facturas emitidas y recibidas en las versiones 3.2, 3.3 y 4.0, así como el CFDI de retenciones e información de pago."
¿Qué son los metadatos?,"Son los datos representativos de la factura, como el folio fiscal, RFC y el nombre del emisor, el RFC y el nombre del destinatario, la fecha de emisión, la certificación de la fecha, el PAC que certificó el efecto total del bono, el estado del bono y, en su caso, la fecha de cancelación."
¿Cómo puedo recuperar mis facturas?,El emisor y el receptor podrán consultar y recuperar las facturas después de la autenticación.
¿Cuál es la mejor manera de recuperar sus facturas?,El SAT tiene dos servicios para la recuperación:El portal de la factura electrónica (anteriormente autenticación con e.firmature o contraseña)Servicio web (sólo con firma electrónica).
¿Cómo puedo acceder a un servicio web?,"El remitente y el receptor pueden acceder al servicio, la autenticación es a través de un token generado con la ayuda de e.signature."
¿Cómo se refleja en la factura electrónica el incentivo fiscal del IVA para la región fronteriza septentrional?,"Se refleja en el campo o atributo llamado “TasaOCuota” del CFDI, donde la opción o valor identificado en el catálogo c_Tasaocuota se seleccionará como “Crédito IVA aplicado del 50%”."
¿Cuáles son los requisitos para registrar y aplicar incentivos fiscales del IVA?,"Para efectuar la entrega material de bienes o servicios en la región fronteriza norte, deberán presentar el anuncio junto con la solicitud de registro en el Registro Federal de Contribuyentes, a más tardar el 7 de febrero de 2019, de conformidad con el documento de procedimiento 4/DEC-10 del anexo 1-A del RMF en vigor y el artículo IV Transicional de la Sexta Resolución 2018."
¿En qué operaciones no se aplicará el estímulo?,"Cuando la factura indique que la clave del producto o servicio no existe en el catálogo, excepto en las transacciones con el público en general que se incluyen en la factura global y aquellas que el SAT identifica como bienes o servicios no sujetos al incentivo fiscal del IVA."
¿Qué es la alienación?,Las disposiciones del artículo 14 del Código Tributario de los Estados Unidos.
¿Debe la factura ser transmitida a la Ventana Única de Comercio Exterior de México (VUCEM)?,La impresión del archivo XML y la representación impresa de la factura en formato PDF deben transmitirse a través de VUCEM como documento electrónico.
¿Qué tipo de moneda debe registrarse en la cantidad total aportada o depositada de una CFDI de retenciones y planes de retirada de información complementaria de pagos?,"Debe ser registrado en pesos mexicanos (MXN ), la cantidad total aportada o depositada al plan de retiro."
¿Puedo emitir una factura anual de información de retención y pago?,En enero del año siguiente a aquél en que se hizo la retención o pago.
¿Dónde puedo comprobar mis facturas de retención y la información de pago?,"En el servicio de consulta y recuperación de facturas, en la sección de Retenciones e Información de Pago, puede comprobar tanto las facturas emitidas como los pagos recibidos."
¿Puedo emitir una factura de retención y la información de pago como un registro de salarios y salarios?,"En virtud de la existencia de la factura de nómina, que sirve como registro de las retenciones."
¿Puedo reflejar varias retenciones en la misma información sobre la factura de retención y el pago?,"No, usted debe emitir una factura para cada tipo de retención, sólo cuando se trata de la misma operación, puede incorporar el nodo retenido para cada tipo de retención."
¿Qué documento contiene la especificación técnica de la factura de retención y la información de pago?,"En el Anexo 20, sección II, a la que puede ingresar en la sección de contenido correspondiente de esta página."
¿Dónde puedo verificar las facturas de retención y la información de pago que recibe?,"A través del Servicio de Verificación de Cartera CFDI para Retenciones e Información de Pago, puede acceder a la aplicación en el contenido relacionado de esta página."
¿Puedo emitir un vale de retención a cero?,"Con la actualización de la versión 2.0 del bono de retención y la información de pago, no es posible emitir un vale con valor cero."
¿Es necesario proporcionar mi dirección fiscal para que mi CFDI de retenciones me sea emitida?,Sólo es necesario facilitar el código postal del domicilio fiscal del destinatario del bono.
¿Puedo relacionar un vale de retención con otras pruebas de la misma operación?,"Con el fin de aprobar las características del anexo 20, con la versión 2.0 del comprobante de retención y la información de pago, se añade la sección “CFDI relacionada” para poder relacionar los comprobantes fiscales."
"Si emito un CFDI de ingresos con conceptos diferentes, gravados a diferentes tipos, con método de pago PPD y luego emitir un CFDI de descarga, ¿es correcto aplicar proporcionalmente el pago recibido a todos los conceptos?","A efectos de las transacciones en las que exista un reembolso, descuento o bonificación, se podrá emitir un CFDI de descarga en el que se deberá registrar la clave correspondiente en el campo ClaveProdServ, de modo que, como se establece en la regla 2.7.32.1. del actual RMF, el valor resultante de esa operación se aplicará directamente a la prueba de origen con la que se refiera."
"¿Debería actualizar mi régimen fiscal en RFC como resultado de haber gravado un régimen que no me pertenecía, debería cancelar los CFDI que fueron emitidos bajo el régimen fiscal anterior y reenviados con el nuevo régimen?","Cuando se realiza un cambio en el régimen tributario debido a que usted fue gravado bajo un régimen que no le pertenecía, los CFDI emitidos durante el período en el que fue gravado bajo el régimen fiscal anterior no deben ser cancelados o reemplazados."
"Si soy un contribuyente que lleva a cabo actividades económicas productivas dentro de los Polos del Desarrollo para el bienestar del Istmo de Tehuantepec (PODEBI), así como actividades fuera de éstos, ¿cómo debería emitir CFDI para mis ingresos ganados?","Deben emitirse dos ICCDI, una CFDI que incluya únicamente los ingresos derivados de las actividades vinculadas a la PODEBI, y otra CFDI para los ingresos que no se atengan a ese decreto cuando se utilice una clave que no sea “05” en el objeto del impuesto sobre el terreno."
¿Cuándo se implementará la versión 4.0 de CFDI?,"A partir del 1 de enero de 2022, entró en vigor la nueva versión CFDI, sin embargo, hay un período de coexistencia con la versión 3.3 de la CFDI, que incluye del 1 de enero de 2022 al 31 de marzo de 2023, por lo que a partir del 1 de abril de 2023 la única versión válida es 4.0."
¿En qué casos debería utilizarse la clave 04 (sí sujeto del impuesto y no impuesto de causa) del catálogo c_ObjetoImp?,"Se utiliza cuando las transacciones cubiertas por el CFDI están sujetas al impuesto sobre el valor añadido y no lo causan, por ejemplo, el interés real obtenido de conformidad con el procedimiento descrito en el artículo 18-A, párrafo tercero, sección I, apartado b), de la Ley del impuesto sobre el valor añadido."
¿Es obligatorio proporcionar mi régimen tributario al solicitar mi factura?,"Si a efectos de la expedición del CFDI con la versión 4.0, el régimen fiscal debe facilitarse en el momento de solicitar la factura."
¿Cuáles son los requisitos mínimos aplicables a las facturas?,Los requisitos mínimos son:RFCNombre del destinatarioRégimen fiscal del receptorCódigo postal del domicilio fiscal del destinatario
¿Se puede vincular un bono a un CFDI?,"A partir de la versión 4.0 CFDI, se puede vincular más de un bono de impuestos, incluso si la clave de la relación es la misma."
"Si soy un contribuyente que dispone de combustibles para vehículos marítimos, aéreos y terrestres, ¿dónde debería registrar el número de permiso concedido por la Comisión Reguladora de la Energía (CRE) o la Secretaría de Energía (SENER) en CFDI?","A fin de cumplir con lo dispuesto en el párrafo segundo, sección III del artículo 27 de la Ley del impuesto sobre la renta, esa información debe registrarse a nivel conceptual en la versión 3.3y4.0 del CFDI."
¿Cuáles son los tipos de facturas?,Los diferentes tipos de facturas están incluidos en c_TypeDeComprobante.I Ingress.N N Nómina de sueldos.P.E Egress.T Transfer.
¿Se pueden registrar cantidades negativas en las facturas de la versión 4.0?,"No, la versión de factura 4.0 no aplica el uso de números negativos para ningún dato."
¿Es obligatorio registrar la forma y el método de pago en las facturas de ingresos?,"Es obligatorio, ya que son requisitos fiscales.Guía de llenado CFDI. Si no se conoce la forma de pago, la clave99 (a definir) se utiliza en el artículo 29-A, Sección VII del Código Tributario de la Federación."
"¿Deben registrarse la forma y el método de pago en todos los tipos de comprobantes (ingresos, descarga, nómina, transferencia y pago)?","Sólo deben registrarse en las facturas de recibo, descarga y nómina, CFDI Fulling Guide versión 3.3, Payroll Supplement Fulling Guides e información de pago no deben ser incorporados en el nivel de suplemento de pago."
"En la emisión de comprobantes de ingresos, ¿qué forma y método de pago clave debe registrarse?",Si el pago o la transacción no se ha recibido será en parcialidades: método de pago: PPD (pago parcial o diferido) método de pago: 99 (por definir) Guía de llenado CFDI. Regla 2.7.1.39 de la Resolución Fiscal Miscelánea para 2022.
"En el caso de cargos y pagos a través de la plataforma CoDi (Recuperación Digital), ¿qué forma de pago se debe registrar en el bono?","La transferencia electrónica de fondos, contenida en el catálogo c_FormaPago del Anexo 20 del RMF, debe registrarse de conformidad con la Regla 2.7.1.39 de la Resolución Fiscal Miscelánea para 2022."
"Al emitir una salida de tipo CFDI “E” (nota de crédito) para descuentos, devoluciones, bonos o anticipos, ¿qué clave RFC se registra en el campo RFC receptor?","En el caso de descuentos globales para operaciones futuras, cuando se emita el CFDI de descargas sin relación con ninguna prueba justificativa, deberá registrarse el RFC de la persona a la que se concede el descuento, y una vez que se generen los ingresos futuros y los ingresos del CFDI estén relacionados con el cual se registre la descarga del CFDI, publicado en el Portal SAT."
"Presté los servicios establecidos en el artículo 1-A Frac. IV de la LIVA antes del 1/01/2020, y la consideración se cobrará a partir del 11/01/2020, estando en vigor la obligación de retener el 6% del IVA, ¿Cómo debo reflejar la retención en la CFDI?","El pago se realizará con la retención aplicada, es decir, el importe de la contraprestación menos la retención correspondiente. Para ello tendrán que emitir el CFDI de pagos, y luego deben emitir un CFDI para las retenciones y la información de pago que reflejará la retención del 6% del IVA."
"Derivado de la reforma a la regla 2.7.1.45. publicada en la TERCERA Resolución de Enmiendas al RMF 2020, que se refiere al complemento hidrocarburos y petróleo ¿Dónde está incorporada la información relacionada con su transferencia y transporte?","A tal efecto, la información relativa al movimiento y transporte de hidrocarburos y productos derivados del petróleo se registrará en el suplemento “Carta de Porte” que incorpore el CFDI que acompaña al transporte de mercancías de conformidad con el Reglamento 2.7.1.9."
¿Hay una clave para cada uno de los productos y servicios que factura?,"En este caso, debe utilizar la clave genérica del producto: 93161.700 Administración Tributaria."
¿Estoy obligado a emitir una factura como organismo público?,Usted está obligado a emitir una factura de conformidad con las disposiciones de los artículos 29 y 29-A del Código Fiscal Federal.
¿Qué necesito para registrarme?,"Como organismo público, usted necesita:Contar con el Certificado de sello digital para contar con e.firmature, validar RFC de los trabajadores a Internet para determinar el cálculo de ISR."
¿Necesito saber el código postal de la dirección fiscal del destinatario?,"Si a efectos de la expedición del bono, el código postal del trabajador debe ser incorporado en el momento de la emisión, ya que es un requisito obligatorio."
"¿Qué clave se debe registrar en el campo ""Tipo de Deducción"" del nodo ""Deducción"" en el suplemento de nómina, cuando se hacen descuentos para créditos hipotecarios, así como descuentos para pagos de préstamos para la remodelación de la habitación de casa?","La clave ``009'' debe registrarse para descuentos provenientes de créditos hipotecarios y préstamos de remodelación de viviendas de INFONAVIT, y la clave ``010'' para pagos de préstamos de remodelación de viviendas de instituciones de seguridad social distintas de INFONAVIT."
¿Qué opciones tengo para emitir facturas de nómina?,"Usted tiene las siguientes opciones:• Mis cuentas pueden ser utilizadas por personas físicas y morales, usted debe tener una contraseña o certificado de sello digital (CSD) para el acceso."
¿Cuándo debería emitir a mis trabajadores la factura de nómina?,"De acuerdo con la ley, usted debe generar la factura en la fecha en que les paga el salario, como una facilidad que puede generar antes o después de realizar el pago, considere los siguientes plazos según el número de trabajadores que tiene:Número de trabajadores o asimilados a salariosDía de trabajoDe 1 a 503De 51 a 1005De 101 a 3007De 301 a 5009Más de 50011"
¿Dónde puedo encontrar más información?,"Para obtener más información, puede utilizar el documento titulado ""Preguntas frecuentes""."
¿Cuál es la otra clave de pago “009”?,Identificar en la nómina CFDI el reembolso hecho por el empleador a su trabajador de los descuentos de vivienda que ha hecho y que no fueron informados por el Instituto de la Vivienda.
"¿Cuándo debe utilizar el otro pago “009” (Reembolso de descuentos realizados para el crédito de vivienda), el empleador?",Cuando usted ha retenido cantidades excesivas de su trabajador para descuentos de vivienda y no han sido informados al Instituto de la Vivienda.
¿Cómo puedo emitir CFDI cuando el trabajador ha muerto y su llave en el RFC es cancelada?,"En el caso de la emisión de la nómina CFDI donde el trabajador fallecido ha fallecido, el registro de los datos de RFC, nombre, CURP y código postal debe hacerse de acuerdo con lo siguiente:RFC: La clave del RFC genérico XAX010101000 debe ser registrado en el catálogo c_CodePostal. Código postal del receptor : El mismo código postal del código postal actual incluido."
¿Es responsabilidad del emisor de la factura identificar la clave del producto o servicio?,Porque él es el que lo hace y lo emite además de ser el que conoce las características y la naturaleza del producto o servicio que lo protegerá.
¿Qué es el suplemento de factura?,Es información adicional para Bills.
¿Qué es el complemento de concepto de factura?,Se trata de información adicional para los conceptos.
¿Cómo puedo obtener el código de descarga?,"En la carta de invitación enviada por el SAT, puede obtener el código de descarga."
¿Cómo puedo recuperar un archivo descargado?,La carta de invitación contiene toda la información necesaria para descargar y descomprimir el archivo.
¿Qué tipo de inconsistencias detecta el SAT?,Errores en el cálculo de los errores de ajuste anual en el cálculo de la subvención Errores en el cálculo de los límites exentos Errores en el concepto de diferencias de seguridad social de ISR.
¿Cuáles son las recomendaciones para corregir mi nómina?,"Para la corrección de los comprobantes, es necesario expedir un nuevo comprobante que sustituya al comprobante que presenta incoherencias, y si la presentación de la declaración complementaria es apropiada."
¿Qué es la facturación SAT móvil?,"Para generar y compartir sus facturas de ingresos versión 4.0 y, si es necesario, añadir el complemento Carda Porte versión 3.0 si realiza el envío de mercancías y/o bienes por Autotransporte en territorio nacional."
¿Cómo uso la aplicación de facturación móvil SAT?,Todas las personas físicas y morales de los contribuyentes registradas en el Registro Federal de Contribuyentes (RFC).
¿Qué necesito facturar dentro de la aplicación Mobile SAT Billing?,"Instale la aplicación en su dispositivo, disponible en Google Play para dispositivos Android y en el App Store para iOS. Cuente con la contraseña activa y el certificado de sello digital (CSD) actual"
¿Es posible utilizar más de un certificado de sello digital?,Usted puede obtener un certificado de sello digital para toda su facturación o uno para cada una de sus sucursales o establecimientos.
¿Puede utilizarse el certificado de firma electrónica para emitir facturas a través de un proveedor de certificación de facturas electrónicas?,"No, el que necesitas es tu certificado de sello digital."
¿Cuándo se presenta el procedimiento de registro para RFC?,En el plazo de un mes desde el día en que inicias tus actividades económicas o cuando necesitas inscribirte en el RFC.
¿Cuáles son las identificaciones oficiales requeridas por el SAT para el proceso de registro RFC?,"Puede presentar cualquiera de las siguientes identificaciones válidas:Credencial para votar.Pasaporte. Certificado profesional expedido por la autoridad competente, extensión o endoso de inmigración, en el caso de extranjeros (original)."
"Si no tengo CURP, ¿qué otro documento puedo enviar para registrarme en el RFC?","El certificado de nacimiento expedido por el registro civil u obtenido en el portal www.gob.mx/actas (Formato único) en el caso de menores que no tienen CURP.Carta de naturalización en el caso de extranjeros, expedida por la autoridad competente."
¿Cómo puedo verificar la existencia de un débito si no aparece en la consulta de Internet y soy un contribuyente inscrito en el RFC?,"Si sabe o ha sido informado de que tiene un débito y no aparece en la consulta en línea, póngase en contacto con MarcaSAT 55 627 22 728, opción 9, seguida de la opción 1, de 8:00 a.m. a 6:30 p.m., de lunes a viernes."
Si consigo mi línea de captura ¿puedo hacer el pago cualquier día?,"Siempre y cuando lo haga a más tardar en la fecha límite que contiene su línea de captura, también teniendo en cuenta los horarios del banco."
"Ingresé para generar la línea de captura, pero aparece un mensaje de error. ¿Qué debo hacer para obtener la línea capturada?","Con el fin de obtener la línea de captura primero, le recomendamos que intente de nuevo más tarde para descartar cualquier fallo de conexión, si el problema continúa, póngase en contacto con MarcaSAT 55 627 22 728, opción 9, de lunes a viernes, o puede solicitarlo en la oficina SAT correspondiente a su dirección fiscal."
"Si garantizo mi deuda, ¿estoy exento de pagar mi deuda con el SAT?","No, la garantía de intereses fiscales no extingue la obligación de pagar el débito."
¿Existen otras formas de garantizar el interés fiscal que no sean las modalidades contenidas en el Código Fiscal de la Federación?,"No, sólo los contenidos en el Código Fiscal Federal."
¿Puedo garantizar dos tipos diferentes de garantía?,Usted puede garantizar con diferentes tipos de garantía.
¿Qué puedo hacer si mi procedimiento de garantía no es aceptado?,Usted puede ofrecer su procedimiento de presentación de garantía de nuevo una vez que cumpla con todos los requisitos necesarios.
¿Por qué razones la autoridad puede negar la cancelación de mi garantía?,Puede ser porque no has pagado tu deuda o porque la frase presentada no fue favorable.
¿Qué sucede si no solicito la cancelación de mi garantía?,La autoridad le informará de la cancelación de su garantía y la pondrá a su disposición de acuerdo con sus modalidades.
¿Cómo se lleva a cabo el procedimiento de registro en el Registro Sectorial de Exportadores?,"Rellene el llamado formulario de solicitud para el Registro Sectorial de Exportadores, que podrá entregar a cualquier oficina SAT de su elección o directamente a la Av. Paseo de la Reforma Norte, No. 10, planta 1, Edif. Tabacalera, Ciudad de México."
¿Cómo se dará a conocer el resultado de la solicitud?,"Introduzca la página SAT (www.sat.gob.mx ), acceso a aduanas, procedimientos de sección y autorizaciones, guía de procedimientos para padres, resultados 2015."
¿Qué sucede cuando una solicitud es rechazada?,"Puede presentar una nueva solicitud, para remediar las inconsistencias observadas."
¿Sólo puedo citar mis documentos originales una vez que obtenga el resultado de mi solicitud?,"No podrá solicitar ningún tipo de documentación, ya que estos son parte del archivo de la aplicación."
"Voy a presentar el registro de una persona moral al Registro Sectorial de Exportadores, pero la información de su socio y accionista no se actualiza en el RFC, ¿cómo lo actualizo?","Antes de presentar la solicitud de registro, introduzca un caso de aclaración con la etiqueta de PARTNERS YACCIONISTS PISE y siga los pasos para el procedimiento de acuerdo con el documento 295/CFF del Anexo 1-A del RMF en vigor, no olvide adjuntar la documentación que demuestre la relación."
¿Cuánto tiempo se tarda en devolver un vehículo?,5 días hábiles a partir de la notificación de la autorización
¿Con qué documento puedo acreditar la propiedad del vehículo de origen extranjero?,Factura de venta o título de propiedad
¿Para qué aduana tengo que devolver el vehículo?,"La aduana indicada en el permiso de importación temporal o de internamiento o, en su caso, según lo indicado por el promotor."
¿Puedo solicitar una prórroga para prolongar los 5 días que tengo para devolver el vehículo?,"Excepcionalmente, el aviso de referencia podrá presentarse por segunda vez en un plazo de cinco días hábiles, cuando el importador o la persona autorizada no haya efectuado el transporte del vehículo a la franja fronteriza o región y/o aduana de partida, así como el acuse de recibo original de la primera notificación presentada."
"¿Cómo inscribo a mis trabajadores en RFC, siendo un jefe?","Las personas físicas y morales en su calidad de empleadores que requieren que sus trabajadores estén registrados en la RFC, pueden generar su expediente en formato CFF y enviar su solicitud de conformidad con la hoja de procedimiento 40/CFF solicitud de registro de trabajadores, de la Resolución Fiscal Miscelánea en vigor."
"¿Qué requisitos debe cumplir el archivo de extensión, con respecto a la información de mis trabajadores?","El archivo con extension.txt debe cumplir con las siguientes características:• El formato del archivo debe contener los siguientes nueve campos, delimitados por tuberías “” a 18 posiciones."
¿Cómo se genera un archivo?,"Al preparar el archivo, le recomendamos que tenga en cuenta los siguientes aspectos: No contenga saltos de línea al final del archivo.El formato de fecha (quinta columna) debe ser DD/MM/AAAANo contenga registros repetidos de trabajadores."
¿Cómo puedo verificar que el archivo a.txt no contiene saltos de línea?,"Puede verificar que el archivo no contiene saltos de línea identificando que el cursor está situado al final del último registro, y no contiene líneas vacías o líneas situadas debajo del registro anterior."
"Si el trabajador tiene más de un nombre, ¿cómo se debe colocar en el archivo?","Si el empleado tiene más de un nombre, debe estar separado por espaciosPor ejemplo: JUAN CARLOS"
"¿Cómo puedo generar el archivo ""txt"" si el trabajador no tiene un segundo nombre?","Si la persona a registrar no tiene el segundo apellido, la columna correspondiente debe quedar vacía entre tuberías: no debe contener espacios, pestañas o letras."
¿Puede colocarse la carta en los registros de mis trabajadores?,En caso de que cualquier registro contenga la letra Ñ debe colocarse según corresponda y el archivo debe guardarse en formato ANSI compatible.
¿Qué fecha debo colocar en la quinta columna dentro del archivo.txt?,La fecha de entrada del trabajador o la fecha de inicio de la relación laboral o la prestación de servicios personales subordinados.
"En mi aplicación para Inscribirse en el RFC de los trabajadores, ¿qué valores debo utilizar en la sexta columna del archivo con extensión TXT?","Debe utilizar los valores 1 a 6 contenidos en la Guía Express de Registro de Empleados, de acuerdo con la categorización del esquema y los ingresos anuales recibidos por el empleado que se registrará en el RFC."
¿Qué RFC debe colocarse en la séptima columna dentro del archivo.txt?,"El RFC del empleador, que es la persona que presenta la solicitud, debe colocarse en la séptima columna, ya sea que sea una persona moral (12 puestos) o una persona física (13 puestos )."
¿Cómo deben separarse los datos de los trabajadores que deben registrarse en el archivo.txt?,"Las columnas deben delimitarse únicamente por tuberías, sin espacios ni tabuladores. Las tuberías deben colocarse como separadoras de cada columna y no deben colocarse al principio o al final de los registros."
¿Cuántos registros de mis trabajadores puedo colocar en el archivo.txt?,"No hay límite de registro, los registros de los trabajadores que están obligados a registrarse pueden ser colocados."
¿Cuántos archivos con formato.txt puedo adjuntar a mi solicitud?,Todos los registros deben ser incluidos en un archivo single.txt.
¿Cuáles son los requisitos para una demostración?,"Es esencial que la demostración sea anexe en formato PDF y esté firmada explícitamente por la persona física o representante legal del empleador, lo que se indica en la sección I. Definiciones: punto 1.2. Identificadores Oficiales, Comprobadores de Domicilio y Poderes, párrafo A) identificador oficial, este (original) anexo correspondiente a la persona física o al representante legal en el caso de las personas morales."
¿A quién corresponde la identificación oficial que acompaña a la manifestación?,"La identificación oficial que acompaña a la manifestación en protesta para decir la verdad debe ser responsabilidad del empleador, una persona física o un representante legal en el caso de las personas morales que deben firmar la manifestación a mano."
¿Qué formatos debo enviar mis documentos?,"Bajo protesta por decir la verdad y la identificación oficial de la persona física empleador o representante legal en el caso de personas morales, debe adjuntarlos en formato PDF y el archivo con la información de sus trabajadores en formato in.txt."
¿Puede introducir varias solicitudes de registro con los mismos datos de los trabajadores?,"No, se sugiere esperar hasta la respuesta de la primera solicitud con el resultado de los registros, para que en caso de que su solicitud tenga inconsistencias, pueda volver a introducirse con las especificaciones de la hoja 40/CFF del Anexo 1-A de la actual Resolución Fiscal Miscelánea."
¿Cómo puedo hacer un seguimiento de mi solicitud de registro de trabajadores?,"Dentro de Mi portal, puede seleccionar la opción: Servicios de Internet / Servicio o Solicitudes / Consulta, capturar el folio número del proceso y verificar la solución concedida a su solicitud."
¿Cómo puedo validar si mis trabajadores ya están inscritos en RFC?,"Como patrón, puede validar el CURP de sus trabajadores para identificar quiénes están inscritos y quiénes deben ser dados de alta del RFC. La validación se puede hacer aquí en nuestro servicio de validación RFC."
¿Cómo presento el procedimiento?,Sólo el representante legal con la correspondiente acreditación puede llevar a cabo el procedimiento.
¿Qué características deben tener las fotografías de la máquina?,"Deben ser fotografías en color, con medidas mínimas de 4 x 6 pulgadas, del domicilio fiscal y del lugar donde se almacenarán, así como de la maquinaria o equipo que utilizarán para los procesos de fabricación, producción o envasado de bebidas alcohólicas por cada equipo utilizado durante los procesos e indicar al reverso de ellos el Domicilio en el que se encuentran (calle, número externo, número interior, colonia, ciudad, municipio, entidad federativa y código postal, y la marca y número de serie de dichas máquinas y equipos)."
¿Qué formato se utiliza para este procedimiento?,"El formato RE-1 “Solicitud de registro del registro de contribuyentes de bebidas alcohólicas RFC”, en el que debe identificar el tipo de movimiento a realizar."
"Voy a presentar la inscripción al Registro de Contribuyentes de Bebidas Alcohólicas en el RFC de una persona moral, pero la información de su socio y accionista no se actualiza en RFC, ¿cómo lo actualizo?","Antes de presentar su solicitud de registro en el Registro de Contribuyentes al Alcohol de RFC, debe proporcionar su información en términos de la hoja de proceso 295/CFF “ Solicitud de modificación o constitución de miembros, accionistas, asociados y otras personas que tienen control, influencia significativa, poder de mando y representantes legales."
¿Puede cualquier persona relacionada con la empresa presentar el procedimiento?,Sólo podrá proceder el representante legal con la acreditación adecuada.
¿El procedimiento es gratuito?,"En la oficina del SAT, se le informará del costo."
¿Pueden las personas físicas gravadas con arreglo a un régimen fiscal distinto de los sueldos y salarios e ingresos asignados a los salarios presentar la solicitud de cambio de la clave CFR?,El procedimiento de solicitud para la modificación de la clave en el RFC asignado por el SAT sólo puede ser aplicado por personas físicas que pagan en el plan de sueldos y salarios e ingresos asignados a los sueldos.
"En caso de que sólo tenga mi contraseña, ¿puedo solicitar la modificación de mi tecla RFC?","Con su e.signa, puede generar su contraseña para solicitar la modificación de la clave RFC."
¿Pueden las personas morales solicitar también una modificación clave de la CFR?,Este procedimiento sólo puede ser presentado por personas físicas que paguen salarios y salarios e ingresos de la misma manera que los salarios.
¿Puedo realizar el proceso de actualización de las actividades en línea sin la firma e.?,¿Cómo puedo recuperar mi contraseña de Gmail?
¿Puedo enviar el aviso de actualización de actividades a las oficinas del SAT?,"En Mi @spacio, el horario es de lunes a jueves de 08:30 a 16:00 horas, y viernes de 8:30 a 15:00 horas."
¿Debo presentar la notificación de actualización de las actividades económicas y las obligaciones fiscales si deja de llevar a cabo actividades económicas?,La notificación de actualización de las actividades económicas y las obligaciones fiscales se proporciona si cambia las actividades económicas que realiza y mantiene al menos una actividad activa.
¿Puedo hacer el aviso de la apertura de una sucesión en línea?,"La notificación del comienzo de la sucesión se presenta en las oficinas de la SAT, preferiblemente por nombramiento."
"Con la presentación del aviso de inicio de la apertura de la sucesión, ¿se cancela el RFC?","El aviso de inicio de la sucesión es el comienzo de la cancelación de un registro de personas físicas cuando la sucesión se da por terminada, el aviso de cancelación por liquidación de la sucesión, con este aviso se cancela el RFC."
"Para llevar a cabo el proceso de apertura de la sucesión en las oficinas del SAT, ¿guarda los originales de mis documentos?",La documentación original y las copias certificadas sólo se solicitarán para la comparación.
¿Puedo enviar en línea el aviso de cancelación en el RFC de una persona natural?,Las notificaciones de cancelación sólo se presentan a las oficinas de la SAT.
¿Qué tipo de aviso de cancelación se proporciona en RFC si un empleado muere?,La notificación de cancelación de la muerte está siendo presentada el lunes.
